match_key,market_key,family,selection,point,team_side,best_price,consensus_fair_odds,books,sources,snapshots_count,dispersion_pct,steam_score
soccer|america|cabofriense rj|2026-06-10,totals|over|2.25|,totals,Over,2.25,,2.52,2.52,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|2.25|,totals,Under,2.25,,1.61,1.61,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|3.75|,totals,Over,3.75,,8.96,8.96,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|3.75|,totals,Under,3.75,,1.09,1.09,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|2.00|,totals,Over,2.0,,2.15,2.15,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|2.00|,totals,Under,2.0,,1.78,1.78,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|4.00|,totals,Over,4.0,,16.25,16.25,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|4.00|,totals,Under,4.0,,1.05,1.05,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|2.75|,totals,Over,2.75,,3.64,3.64,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|2.75|,totals,Under,2.75,,1.28,1.28,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|5.00|,totals,Over,5.0,,1.01,1.01,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|5.00|,totals,Under,5.0,,1.01,1.01,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|4.50|,totals,Over,4.5,,18.0,18.0,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|4.50|,totals,Under,4.5,,1.05,1.05,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|3.25|,totals,Over,3.25,,5.8,5.8,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|3.25|,totals,Under,3.25,,1.18,1.18,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|3.00|,totals,Over,3.0,,5.21,5.21,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|3.00|,totals,Under,3.0,,1.19,1.19,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|0.50|,totals,Over,0.5,,1.14,1.14,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|0.50|,totals,Under,0.5,,7.0,7.0,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|1.25|,totals,Over,1.25,,1.4,1.4,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|1.25|,totals,Under,1.25,,3.12,3.12,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|1.00|,totals,Over,1.0,,1.2,1.2,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|1.00|,totals,Under,1.0,,5.0,5.0,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|3.50|,totals,Over,3.5,,6.4,6.4,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|3.50|,totals,Under,3.5,,1.17,1.17,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|over|0.75|,totals,Over,0.75,,1.13,1.13,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,totals|under|0.75|,totals,Under,0.75,,5.8,5.8,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,btts|yes||,btts,Yes,,,2.34,2.34,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|america|cabofriense rj|2026-06-10,btts|no||,btts,No,,,1.72,1.72,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|boca juniors|newells|2026-06-10,h2h|newells||home,h2h,Newells,,home,3.75,3.4158,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,5.591,
soccer|boca juniors|newells|2026-06-10,h2h|draw||,h2h,Draw,,,3.1,3.0573,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,1.299,
soccer|boca juniors|newells|2026-06-10,h2h|boca juniors||away,h2h,Boca Juniors,,away,2.34,2.1196,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,8.811,
soccer|boca juniors|newells|2026-06-10,dnb|newells|0.00|home,dnb,Newells,0.0,home,2.52,2.3798,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,4.762,
soccer|boca juniors|newells|2026-06-10,dnb|boca juniors|0.00|away,dnb,Boca Juniors,0.0,away,1.58,1.5756,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.363,
soccer|boca juniors|newells|2026-06-10,spreads|newells|0.25|home,spreads,Newells,0.25,home,1.94,1.9202,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,1.085,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-0.25|away,spreads,Boca Juniors,-0.25,away,1.96,1.9301,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,1.611,
