match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|al arabi uae|dibba al hisn|2026-04-24,odds_api_io,62067412,soccer,United Arab Emirates - First Division,Dibba Al-Hisn SC,AL Arabi (UAE),2026-04-24T13:55:00+00:00,mid,"{""competition"": ""United Arab Emirates - First Division"", ""odds_api_io_id"": 62067412, ""raw_event"": {""away"": ""AL Arabi (UAE)"", ""awayId"": 312228, ""date"": ""2026-04-24T13:55:00Z"", ""home"": ""Dibba Al-Hisn SC"", ""homeId"": 312224, ""id"": 62067412, ""league"": {""name"": ""United Arab Emirates - First Division"", ""slug"": ""united-arab-emirates-first-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,over,,2.5,,Bet365,odds_api_io,57.5,48.93,46.52,,,66.0,,,xg_total,23.229,2.204,0.788,,sstats_form,,flat,,,,,,
soccer|emirates|masfoot sports|2026-04-24,odds_api_io,62067414,soccer,United Arab Emirates - First Division,Emirates Club,Masfoot Sports Club,2026-04-24T13:55:00+00:00,mid,"{""competition"": ""United Arab Emirates - First Division"", ""odds_api_io_id"": 62067414, ""raw_event"": {""away"": ""Masfoot Sports Club"", ""awayId"": 312226, ""date"": ""2026-04-24T13:55:00Z"", ""home"": ""Emirates Club"", ""homeId"": 47466, ""id"": 62067414, ""league"": {""name"": ""United Arab Emirates - First Division"", ""slug"": ""united-arab-emirates-first-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,over,,2.5,,Bet365,odds_api_io,62.55,59.75,57.75,,,64.38,,,market_derived_totals,20.722,,,,market_signal,,flat,,,,,,
soccer|al dhaid|majd|2026-04-24,odds_api_io,62067406,soccer,United Arab Emirates - First Division,Majd FC,Al-Dhaid,2026-04-24T13:55:00+00:00,mid,"{""competition"": ""United Arab Emirates - First Division"", ""odds_api_io_id"": 62067406, ""raw_event"": {""away"": ""Al-Dhaid"", ""awayId"": 312222, ""date"": ""2026-04-24T13:55:00Z"", ""home"": ""Majd FC"", ""homeId"": 1169057, ""id"": 62067406, ""league"": {""name"": ""United Arab Emirates - First Division"", ""slug"": ""united-arab-emirates-first-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Al-Dhaid,away,away,-1.5,,Bet365,odds_api_io,50.9,50.16,50.0,,,53.09,,,market_simple_spreads,14.63,,,,market_signal,,low_sample,,,,,,
soccer|al hamriyah|al jazira al hamra|2026-04-24,odds_api_io,62067408,soccer,United Arab Emirates - First Division,AL Jazira AL Hamra,Al-Hamriyah,2026-04-24T13:55:00+00:00,mid,"{""competition"": ""United Arab Emirates - First Division"", ""odds_api_io_id"": 62067408, ""raw_event"": {""away"": ""Al-Hamriyah"", ""awayId"": 290576, ""date"": ""2026-04-24T13:55:00Z"", ""home"": ""AL Jazira AL Hamra"", ""homeId"": 838594, ""id"": 62067408, ""league"": {""name"": ""United Arab Emirates - First Division"", ""slug"": ""united-arab-emirates-first-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,dnb,Al-Hamriyah (0),away,,,,Bet365,odds_api_io,79.98,62.16,57.25,,,64.31,,,h2h_ensemble,34.448,0.718,2.869,,sstats_form,,flat,,,,,,
soccer|al ittifaq|fujairah|2026-04-24,odds_api_io,62067410,soccer,United Arab Emirates - First Division,Fujairah FC,AL Ittifaq,2026-04-24T13:55:00+00:00,mid,"{""competition"": ""United Arab Emirates - First Division"", ""odds_api_io_id"": 62067410, ""raw_event"": {""away"": ""AL Ittifaq"", ""awayId"": 768610, ""date"": ""2026-04-24T13:55:00Z"", ""home"": ""Fujairah FC"", ""homeId"": 170590, ""id"": 62067410, ""league"": {""name"": ""United Arab Emirates - First Division"", ""slug"": ""united-arab-emirates-first-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Меньше,under,,3.25,,Bet365,odds_api_io,61.79,53.97,51.97,,,57.15,,,xg_total,16.503,1.612,1.519,,sstats_form,,low_sample,,,,,,
soccer|als omonia|meap pera choriou nisou|2026-04-24,odds_api_io,67799012,soccer,Cyprus - 2nd Division,MEAP Pera Choriou Nisou,Als Omonia,2026-04-24T14:00:00+00:00,mid,"{""competition"": ""Cyprus - 2nd Division"", ""odds_api_io_id"": 67799012, ""raw_event"": {""away"": ""Als Omonia"", ""awayId"": 811266, ""date"": ""2026-04-24T14:00:00Z"", ""home"": ""MEAP Pera Choriou Nisou"", ""homeId"": 25536, ""id"": 67799012, ""league"": {""name"": ""Cyprus - 2nd Division"", ""slug"": ""cyprus-2nd-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|alianza 2|plaza amador|2026-04-24,odds_api_io,71015254,soccer,Panama - Liga Prom,CD Plaza Amador,Alianza FC II,2026-04-24T14:00:00+00:00,mid,"{""competition"": ""Panama - Liga Prom"", ""odds_api_io_id"": 71015254, ""raw_event"": {""away"": ""Alianza FC II"", ""awayId"": 781340, ""date"": ""2026-04-24T14:00:00Z"", ""home"": ""CD Plaza Amador"", ""homeId"": 365538, ""id"": 71015254, ""league"": {""name"": ""Panama - Liga Prom"", ""slug"": ""panama-liga-prom""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Меньше,under,,3.75,,Bet365,odds_api_io,90.1,59.41,51.32,,,62.8,,,xg_total,36.231,1.36,0.649,,sstats_form,,low_sample,,,,,,
soccer|cs agigea|voluntari 2|2026-04-24,odds_api_io,70385024,soccer,Romania - Liga 3,SC FC Voluntari II,CS Agigea,2026-04-24T14:00:00+00:00,mid,"{""competition"": ""Romania - Liga 3"", ""odds_api_io_id"": 70385024, ""raw_event"": {""away"": ""CS Agigea"", ""awayId"": 1168417, ""date"": ""2026-04-24T14:00:00Z"", ""home"": ""SC FC Voluntari II"", ""homeId"": 220342, ""id"": 70385024, ""league"": {""name"": ""Romania - Liga 3"", ""slug"": ""romania-liga-3""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs recolta gheorghe doja|fotbal fcsb 2|2026-04-24,odds_api_io,70385026,soccer,Romania - Liga 3,Fotbal Club FCSB 2,ACS Recolta Gheorghe Doja,2026-04-24T14:00:00+00:00,mid,"{""competition"": ""Romania - Liga 3"", ""odds_api_io_id"": 70385026, ""raw_event"": {""away"": ""ACS Recolta Gheorghe Doja"", ""awayId"": 594744, ""date"": ""2026-04-24T14:00:00Z"", ""home"": ""Fotbal Club FCSB 2"", ""homeId"": 36963, ""id"": 70385026, ""league"": {""name"": ""Romania - Liga 3"", ""slug"": ""romania-liga-3""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|pfc spartak pleven|yantra gabrovo|2026-04-24,odds_api_io,63465145,soccer,Bulgaria - Vtora Liga,FC Yantra Gabrovo,PFC Spartak Pleven,2026-04-24T14:00:00+00:00,mid,"{""competition"": ""Bulgaria - Vtora Liga"", ""odds_api_io_id"": 63465145, ""raw_event"": {""away"": ""PFC Spartak Pleven"", ""awayId"": 45657, ""date"": ""2026-04-24T14:00:00Z"", ""home"": ""FC Yantra Gabrovo"", ""homeId"": 406859, ""id"": 63465145, ""league"": {""name"": ""Bulgaria - Vtora Liga"", ""slug"": ""bulgaria-vtora-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,over,,2.5,,Bet365,odds_api_io,47.49,44.7,42.69,,,64.38,,,market_derived_totals,22.04,,,,market_signal,,flat,,,,,,
